E-mail-cím;Kérem, hogy rendezd sorba az egyes feladatokat aszerint, hogy melyikben menyire szívesen vennél részt (1=legszívesebben ... 7=legkevésbé szívesen)! [Osztályterem];Kérem, hogy rendezd sorba az egyes feladatokat aszerint, hogy melyikben menyire szívesen vennél részt (1=legszívesebben ... 7=legkevésbé szívesen)! [Bejárat];Kérem, hogy rendezd sorba az egyes feladatokat aszerint, hogy melyikben menyire szívesen vennél részt (1=legszívesebben ... 7=legkevésbé szívesen)! [Folyosók];Kérem, hogy rendezd sorba az egyes feladatokat aszerint, hogy melyikben menyire szívesen vennél részt (1=legszívesebben ... 7=legkevésbé szívesen)! [Osztályok];Kérem, hogy rendezd sorba az egyes feladatokat aszerint, hogy melyikben menyire szívesen vennél részt (1=legszívesebben ... 7=legkevésbé szívesen)! [Díszterem];Kérem, hogy rendezd sorba az egyes feladatokat aszerint, hogy melyikben menyire szívesen vennél részt (1=legszívesebben ... 7=legkevésbé szívesen)! [Rendezés];Kérem, hogy rendezd sorba az egyes feladatokat aszerint, hogy melyikben menyire szívesen vennél részt (1=legszívesebben ... 7=legkevésbé szívesen)! [Takarítás];Jelöld meg, mely feladatokban dolgoznál felelősként!
keleti.eva.judit@iskola.hu;3;2;7;6;1;5;4;
borus.hanna@iskola.hu;5;7;3;2;6;4;1;
horvath.emilia@iskola.hu;2;5;7;4;1;3;6;
kovacs.gabor@iskola.hu;4;3;2;5;1;6;7;
berdi.zsuzsanna@iskola.hu;5;7;1;6;3;2;4;Folyosók, Rendezés
nemeth.zsuzsa@iskola.hu;3;7;6;5;1;2;4;Díszterem, Rendezés
baranyi.andras@iskola.hu;4;3;7;1;6;5;2;Osztályok
esti.cecilia@iskola.hu;5;6;7;3;1;4;2;
marosi.gyongyver@iskola.hu;4;5;1;3;7;2;6;Folyosók
vaci.eva.aniko@iskola.hu;2;5;1;4;6;3;7;
nagy.robert@iskola.hu;3;4;7;5;6;1;2;Rendezés
lakatos.jozsef@iskola.hu;4;3;5;7;2;6;1;Takarítás
bereczky.alajos@iskola.hu;5;1;4;3;7;2;6;
poros.tamas@iskola.hu;6;4;7;3;1;5;2;
dunai.ferenc@iskola.hu;3;4;1;5;7;2;6;Folyosók
galambos.kristof@iskola.hu;2;6;7;3;1;4;5;
szabo.kis.andras@iskola.hu;5;3;2;1;7;4;6;Osztályok
tovari.rudolf@iskola.hu;4;5;3;6;1;7;2;Díszterem
bognar.salamon@iskola.hu;5;4;3;6;1;7;2;
elekes.pal@iskola.hu;7;6;4;3;1;5;2;Díszterem
hegyi.evelin@iskola.hu;3;6;7;2;1;4;5;
miskolci.peter@iskola.hu;5;2;6;1;7;4;3;
furedi.zsolt.andras@iskola.hu;4;5;6;2;1;7;3;
bekesi.dezso@iskola.hu;5;1;6;2;7;4;3;
ajtai.janos@iskola.hu;3;7;6;1;2;5;4;Osztályok
faludi.nagy.bence@iskola.hu;2;3;6;1;4;5;7;Osztályok, Osztályterem
lajtos.attila@iskola.hu;3;4;6;2;7;5;1;
ovari.elemer@iskola.hu;5;4;7;1;6;2;3;
szigeti.bence@iskola.hu;5;4;7;3;6;1;2;
berces.panna@iskola.hu;7;6;4;5;1;3;2;Díszterem, Takarítás
nagy.kereki.eva@iskola.hu;1;2;4;6;7;5;3;
balogh.reka@iskola.hu;3;4;7;6;2;5;1;
szemeredi.andrea@iskola.hu;2;7;4;5;6;1;3;
buzasi.lorinc@iskola.hu;4;6;7;1;3;5;2;
hegyi.tamas@iskola.hu;1;3;6;5;4;7;2;Osztályterem, Takarítás
kutasi.nora@iskola.hu;3;6;4;1;2;5;7;Osztályok, Díszterem
